Time_UV	Substrate	k	n0	r	t_mid	t_gen	Cyanobacteria	Condition	rse	tmidse
2h	MMS-2	3.011317088	0.084182422	0.083271606	42.61708532	8.323931889	Nostoc_10	Dry	0.015854766	7.585874784
4h	MMS-2	2.077337796	0.016401341	0.136436818	35.42704005	5.08035287	Nostoc_10	Dry	0.034058511	10.6378102
72h	MMS-2	0	0	0	0	0	Nostoc_10	Dry	0	0
None	Montmorillonite	0.965826742	0.01511228	0.33138916	12.49801329	2.091641081	Nostoc_10	Dry	0.043137865	1.811903404
1min	Montmorillonite	0.905542903	0.002601262	0.461945186	12.6631071	1.5004966	Nostoc_10	Dry	0.057535458	1.764034934
10min	Montmorillonite	0.831284181	0.004910105	0.420181428	12.19890232	1.649637835	Nostoc_10	Dry	0.06467611	2.167958583
1h	Montmorillonite	1.326646005	0.001198504	0.546357913	12.82754606	1.268668694	Nostoc_10	Dry	0.057904618	1.494884161
2h	Montmorillonite	1.153401259	0.000255318	0.652956091	12.88830057	1.061552515	Nostoc_10	Dry	0.071474874	1.562825555
4h	Montmorillonite	1.337364683	0.000328057	0.607218419	13.6899314	1.141512113	Nostoc_10	Dry	0.064564677	1.604687324
72h	Montmorillonite	358517.2711	0.134615326	0.024616472	601.02299	28.15786007	Nostoc_10	Dry	0.031346956	0
None	None	1.463288635	0.458581839	0.073087152	10.73119197	9.483844396	Nostoc_10	Dry	0.018672837	2.108771543
1min	None	1.346788974	0.313134509	0.06549843	18.23284918	10.58265343	Nostoc_10	Dry	0.012740693	2.632924272
10min	None	1.640873182	0.617067536	0.040868773	12.38851743	16.96031284	Nostoc_10	Dry	0.015818127	-3.235390945
1h	None	2.001645362	0.401881373	0.117326159	11.77447938	5.907865627	Nostoc_10	Dry	0.023867629	2.559922093
2h	None	1.347713349	0.001203346	0.504555522	13.91356375	1.37377781	Nostoc_10	Dry	0.14704897	5.612795971
4h	None	530435.2564	0.347698624	0.002387111	5964.479165	290.3707798	Nostoc_10	Dry	0.035785435	0
72h	None	154061.8833	0.022693429	0.019785649	795.0605758	35.03282532	Nostoc_10	Dry	0.017100153	0
None	Nontronite	2.914312722	0.018103379	0.246613607	20.57899203	2.81066073	Nostoc_10	Dry	0.011577026	0.972822872
1min	Nontronite	2.829420368	0.016396142	0.220577802	23.32496441	3.142415845	Nostoc_10	Dry	0.012609845	1.353607388
10min	Nontronite	2.91671241	0.008671848	0.291960647	19.91759129	2.374111675	Nostoc_10	Dry	0.014034338	0.971874391
1h	Nontronite	3.119264238	0.016087672	0.224428014	23.4468425	3.088505618	Nostoc_10	Dry	0.009129564	0.953057621
2h	Nontronite	3.06399347	0.014551382	0.219013586	24.40500633	3.164859277	Nostoc_10	Dry	0.008039936	0.890364899
4h	Nontronite	3.483714928	0.074023154	0.14956543	25.60751668	4.634407701	Nostoc_10	Dry	0.007558345	1.245713789
72h	Nontronite	727229.0592	0.115626666	0.033624717	465.5618436	20.61421596	Nostoc_10	Dry	0.024985331	0
None	PRT	0	0	0	0	0	Nostoc_10	Dry	0	0
1min	PRT	0	0	0	0	0	Nostoc_10	Dry	0	0
10min	PRT	0	0	0	0	0	Nostoc_10	Dry	0	0
1h	PRT	0	0	0	0	0	Nostoc_10	Dry	0	0
2h	PRT	0	0	0	0	0	Nostoc_10	Dry	0	0
4h	PRT	0	0	0	0	0	Nostoc_10	Dry	0	0
72h	PRT	0	0	0	0	0	Nostoc_10	Dry	0	0
None	MGS-1	1.584746432	0.325613607	0.3672687	3.68250032	1.887302623	Nostoc_10	Wet	0.027361483	0.24471396
1min	MGS-1	1.551419346	0.314031723	0.354392402	3.869337105	1.955874836	Nostoc_10	Wet	0.027468123	0.267087803
10min	MGS-1	1.618186999	0.319003696	0.33683181	4.169108697	2.057843586	Nostoc_10	Wet	0.021620149	0.233958412
1h	MGS-1	1.371213513	0.198683618	0.359805529	4.933791032	1.926449495	Nostoc_10	Wet	0.02232511	0.281181213
2h	MGS-1	1.724568722	0.283222444	0.371181618	4.383569062	1.867407076	Nostoc_10	Wet	0.025929407	0.280330186
3h	MGS-1	1.809134731	0.353010053	0.342995532	4.131357966	2.020863587	Nostoc_10	Wet	0.029018137	0.313693312
4h	MGS-1	1.563377213	0.376854123	0.331333426	3.461541385	2.091992916	Nostoc_10	Wet	0.027779837	0.247564598
None	MMS-2	1.352962591	0.119410683	0.322379794	7.243271436	2.150094995	Nostoc_10	Wet	0.022761009	0.493162585
1min	MMS-2	1.398263349	0.106144366	0.31501475	7.9337195	2.20036421	Nostoc_10	Wet	0.021009062	0.511297091
10min	MMS-2	1.450414012	0.196885775	0.251002981	7.374787734	2.761509757	Nostoc_10	Wet	0.022674529	0.609934312
1h	MMS-2	1.243891997	0.124341996	0.292035054	7.525282567	2.37350678	Nostoc_10	Wet	0.043179147	1.145667106
2h	MMS-2	1.697808337	0.175358148	0.196190946	11.01603254	3.533023293	Nostoc_10	Wet	0.014265969	0.696703581
3h	MMS-2	1.626568413	0.132651443	0.185189781	13.0754074	3.742901895	Nostoc_10	Wet	0.011296626	0.684641453
4h	MMS-2	1.633427992	0.156397061	0.185611782	12.09724491	3.734392137	Nostoc_10	Wet	0.009884991	0.54349527
None	Montmorillonite	0.411993233	0.063180355	2.516523046	0.678929688	0.275438439	Nostoc_10	Wet	0.777635866	0.286497236
1min	Montmorillonite	0.374783518	0.038642922	2.722476765	0.794558066	0.254601688	Nostoc_10	Wet	0.775096625	0.304830197
10min	Montmorillonite	0.391955679	0.099321737	1.275085697	0.847439539	0.54360831	Nostoc_10	Wet	0.421571135	0.374105215
1h	Montmorillonite	0.312141128	0.029926301	1.591745524	1.40972965	0.435463565	Nostoc_10	Wet	0.550891207	0.714447567
2h	Montmorillonite	0.346862522	0.03873559	1.430829852	1.449335844	0.484437181	Nostoc_10	Wet	0.453670503	0.642228099
3h	Montmorillonite	0.406928298	0.105416291	0.145083121	7.243383249	4.777586654	Nostoc_10	Wet	0.024785924	0.791929608
4h	Montmorillonite	0.503449061	0.115933942	0.105556301	11.43213904	6.566611154	Nostoc_10	Wet	0.019378429	1.012345699
None	None	25017.02853	0.119255419	0.031601405	387.7610796	21.93406206	Nostoc_10	Wet	0.032449595	0
1min	None	0.5697099	0.101425914	0.139800706	10.942336	4.958109287	Nostoc_10	Wet	0.053088498	4.05182064
10min	None	247093.5647	0.136161657	0.022807983	631.8592164	30.3905515	Nostoc_10	Wet	0.032935598	0
1h	None	2333881.025	0.096518932	0.05170947	328.7803795	13.40464677	Nostoc_10	Wet	0.016446167	0
2h	None	0.901775193	0.083714961	0.1080786	21.09130088	6.413361976	Nostoc_10	Wet	0.021833168	2.729523501
3h	None	2.343053709	0.088899214	0.066876905	48.34295058	10.36452234	Nostoc_10	Wet	0.023342144	0
4h	None	1.066564336	0.133626719	0.18251459	10.64730277	3.797763124	Nostoc_10	Wet	0.016050166	0.793965345
None	Nontronite	1.073297077	0.225011527	0.464363851	2.857814358	1.49268118	Nostoc_10	Wet	0.062024214	0.383914866
1min	Nontronite	1.087324601	0.126937303	1.240397897	1.63144694	0.558810348	Nostoc_10	Wet	0.198953461	0.298364849
10min	Nontronite	1.092982238	0.245886718	0.352903823	3.505041449	1.964124883	Nostoc_10	Wet	0.029910971	0.261553301
1h	Nontronite	1.122803197	0.243746899	0.335900927	3.818740744	2.063546493	Nostoc_10	Wet	0.026498407	0.262547937
2h	Nontronite	1.145726929	0.280362341	0.302312009	3.728161738	2.292820528	Nostoc_10	Wet	0.024341072	0.248305446
3h	Nontronite	1.521182664	0.415072759	0.189172999	5.181240076	3.664091524	Nostoc_10	Wet	0.01378949	0.250800888
4h	Nontronite	1.579185215	0.240543322	0.188497369	9.106284475	3.677224704	Nostoc_10	Wet	0.016463448	0.663224127
None	MGS-1	1.539745514	0.328085697	0.287913485	4.537722866	2.40748425	Anabaena_26	Wet	0.020267281	0.269207664
1min	MGS-1	1.182394575	0.182955295	0.343232395	4.946947297	2.019468997	Anabaena_26	Wet	0.022135637	0.290140846
10min	MGS-1	1.473518419	0.184910189	0.35048202	5.539364839	1.97769683	Anabaena_26	Wet	0.022723518	0.335623628
1h	MGS-1	1.459329337	0.198726372	0.342240225	5.398011195	2.02532353	Anabaena_26	Wet	0.019362321	0.27985317
2h	MGS-1	1.39500394	0.255911313	0.222187673	6.720248292	3.119647326	Anabaena_26	Wet	0.015889024	0.399240797
3h	MGS-1	1.391174526	0.236590977	0.232089009	6.829975215	2.986557538	Anabaena_26	Wet	0.012781766	0.315490609
4h	MGS-1	1.27952012	0.182454109	0.304181546	5.897451614	2.278728573	Anabaena_26	Wet	0.01885267	0.33146564
None	MMS-2	1.301466584	0.16562853	0.236507286	8.140884595	2.930764595	Anabaena_26	Wet	0.034147178	1.136898482
1min	MMS-2	1.337287458	0.185766882	0.207685728	8.784166532	3.337481044	Anabaena_26	Wet	0.017768197	0.653260679
10min	MMS-2	1.221349096	0.165032832	0.300739593	6.172777108	2.304808534	Anabaena_26	Wet	0.020769444	0.391755912
1h	MMS-2	2.907237878	0.683353688	0.045248197	26.07834349	15.31878028	Anabaena_26	Wet	0.059202062	0
2h	MMS-2	1.419423732	0.054771498	0.298527404	10.77115504	2.321887947	Anabaena_26	Wet	0.020036626	0.703981107
3h	MMS-2	1.774935631	0.23555868	0.174108941	10.78160012	3.981111912	Anabaena_26	Wet	0.015355379	0.787344813
4h	MMS-2	1.695216028	0.120506602	0.193688657	13.26934443	3.578666873	Anabaena_26	Wet	0.014201376	0.862754542
None	Montmorillonite	0.520217879	0.164798184	0.309105164	2.486460349	2.242431577	Anabaena_26	Wet	0.046587049	0.298553098
1min	Montmorillonite	0.476668275	0.119460238	0.858671016	1.275616335	0.807232534	Anabaena_26	Wet	0.261222568	0.509129947
10min	Montmorillonite	0.569343829	0.163994847	0.310433149	2.915002412	2.232838806	Anabaena_26	Wet	0.04580127	0.361977956
1h	Montmorillonite	0.494389246	0.167494906	0.840614792	0.795470252	0.824571715	Anabaena_26	Wet	0.255258094	0.291573825
2h	Montmorillonite	0.303274479	0.049955455	0.344907472	4.707111564	2.00966125	Anabaena_26	Wet	0.059198498	0.821035887
3h	Montmorillonite	0.994831363	0.590833354	0.240750832	0	2.879106067	Anabaena_26	Wet	0.075896457	0.3
4h	Montmorillonite	0.768661401	0.286336951	0.163212291	3.194904941	4.246905535	Anabaena_26	Wet	0.01977753	0.100440733
None	None	2.805843674	0.978777207	0.011215531	55.65165527	61.8024373	Anabaena_26	Wet	0.085439431	0
1min	None	0.762119833	0.195907879	0.056755448	18.69994834	12.21287483	Anabaena_26	Wet	0.031914634	0
10min	None	45079.81627	0.131611666	0.021943357	580.7719585	31.58801869	Anabaena_26	Wet	0.052262839	0
1h	None	0.507270842	0.068477977	0.15765951	11.78181562	4.396481898	Anabaena_26	Wet	0.041193996	0
2h	None	19132.26803	0.105356851	0.012958495	934.485697	53.48979039	Anabaena_26	Wet	0.053806496	0
3h	None	103509.2313	0.084427475	0.035539044	394.4753755	19.50382188	Anabaena_26	Wet	0.026761484	0
4h	None	0.746802281	0.109993723	0.135027071	13.0051386	5.133394172	Anabaena_26	Wet	0.031262524	0
None	Nontronite	1.030776194	0.247953261	0.297823565	3.860225981	2.327375202	Anabaena_26	Wet	0.025518313	0.275574382
1min	Nontronite	0.883717682	0.129314637	0.380277661	4.637869831	1.822739678	Anabaena_26	Wet	0.028462874	0.324463594
10min	Nontronite	1.029579311	0.256572015	0.294210644	3.748603668	2.355955483	Anabaena_26	Wet	0.022056438	0.228181441
1h	Nontronite	0.944765084	0.176822131	0.301094033	4.877450138	2.302095372	Anabaena_26	Wet	0.02532466	0.363727696
2h	Nontronite	0.973213363	0.16495718	0.361872395	4.391584333	1.915446409	Anabaena_26	Wet	0.020337437	0.221164913
3h	Nontronite	1.333904303	0.26928584	0.26530776	5.181146394	2.612615555	Anabaena_26	Wet	0.028074528	0.479269945
4h	Nontronite	2.14616169	0.407424425	0.12421146	11.68216655	5.580380262	Anabaena_26	Wet	0.015264047	0.924730567
None	PRT	0.392307413	1.010643135	0	0	0	Anabaena_26	Wet	0	0
1min	PRT	0.226396377	1.123769096	0	0	0	Anabaena_26	Wet	0	0
10min	PRT	0	0	0	0	0	Anabaena_26	Wet	0	0
1h	PRT	0.286306739	0.864375443	0	0	0	Anabaena_26	Wet	0	0
2h	PRT	0	0	0	0	0	Anabaena_26	Wet	0	0
3h	PRT	0	0	0	0	0	Anabaena_26	Wet	0	0
4h	PRT	0.169142399	0.421597889	0	0	0	Anabaena_26	Wet	0	0
None	PRT	0.327275432	0.957063225	0	0	0	Nostoc_10	Wet	0	0
1min	PRT	0	0	0	0	0	Nostoc_10	Wet	0	0
10min	PRT	1.097777104	0.993179588	0	0	0	Nostoc_10	Wet	0	0
1h	PRT	0	0	0	0	0	Nostoc_10	Wet	0	0
2h	PRT	0.166849556	0.710113688	0	0	0	Nostoc_10	Wet	0	0
3h	PRT	0.176091259	0.537407303	0	0	0	Nostoc_10	Wet	0	0
4h	PRT	0.230365419	0.777863953	0	0	0	Nostoc_10	Wet	0	0
